sep=;
DATA PERBANDINGAN MENTAH - B1;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;317,4375;314,5;-9,86843364;-9,86828133
Steady State End;550,0;550,0;-9,86942905;-9,8692772
10% Steady State;61,79166667;61,77083333;-0,98863375;-0,98788037
90% Steady State;129,8125;129,70833333;-8,88257811;-8,88274955
ATTACK TIME (sw);68,02083333;67,9375;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-9,8694256;-9,86927418
Steady State Start;811,47916667;841,66666667;-0,02499211;-0,02495792
Steady State End;1250,0;1250,0;-1,63e-06;-0,02395633
10% Recovery;563,64583333;563,58333333;-8,88180532;-8,88051136
90% Recovery;646,6875;647,66666667;-0,9865538;-0,9869137
Release TIME (sw);83,04166667;84,08333333;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,12251148;;;
Release Time Error (%);1,25439036;;;
SS Gain Error (dB);0,00015231;;;
MAE (dB);0,01416792;;;
RMSE (dB);0,01805228;;;
R2 Score;0,9999843;;;
