sep=;
DATA PERBANDINGAN MENTAH - A2;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;413,45833333;420,02083333;-10,74133951;-10,74131656
Steady State End;550,0;550,0;-10,74233896;-10,7423137
10% Steady State;65,39583333;65,41666667;-1,07537224;-1,07655348
90% Steady State;148,25;148,1875;-9,66823299;-9,668523
ATTACK TIME (sw);82,85416667;82,77083333;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-10,74233811;-10,7423146
Steady State Start;863,875;894,10416667;-0,0249956;-0,02492374
Steady State End;1250,0;1250,0;-5,16e-06;-0,02395633
10% Recovery;585,1875;585,52083333;-9,66691026;-9,66793704
90% Recovery;695,45833333;696,5;-1,07376664;-1,07381236
Release TIME (sw);110,27083333;110,97916667;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,10057833;;;
Release Time Error (%);0,64235784;;;
SS Gain Error (dB);2,295e-05;;;
MAE (dB);0,01429889;;;
RMSE (dB);0,01822633;;;
R2 Score;0,99998629;;;
