sep=;
DATA PERBANDINGAN MENTAH - F3;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;426,375;424,9375;-11,34107428;-11,34126584
Steady State End;550,0;550,0;-11,34207386;-11,34225659
10% Steady State;62,47916667;62,47916667;-1,13677068;-1,13679363
90% Steady State;141,52083333;141,52083333;-10,20847591;-10,20879156
ATTACK TIME (sw);79,04166667;79,04166667;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,34207355;-11,34225135
Steady State Start;1193,97916667;1252,66666667;-0,02499591;-0,02495981
Steady State End;1450,0;1450,0;-0,00149917;-0,02395633
10% Recovery;625,8125;626,5625;-10,20779651;-10,2069659
90% Recovery;852,47916667;854,3125;-1,13411652;-1,13417269
Release TIME (sw);226,66666667;227,75;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,0;;;
Release Time Error (%);0,47794117;;;
SS Gain Error (dB);0,00019156;;;
MAE (dB);0,01559363;;;
RMSE (dB);0,01927443;;;
R2 Score;0,99998546;;;
