sep=;
DATA PERBANDINGAN MENTAH - G3;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;887,83333333;883,52083333;-10,52095117;-10,52092587
Steady State End;950,0;950,0;-10,52195095;-10,52191877
10% Steady State;92,66666667;92,5625;-1,05316041;-1,05227191
90% Steady State;343,33333333;343,14583333;-9,4699134;-9,46977055
ATTACK TIME (sw);250,66666667;250,58333333;0,0;0,0
-----------------;;;;
RELEASE PHASE;950,0;950,0;-10,52195104;-10,52192144
Steady State Start;1494,39583333;1546,10416667;-0,02499989;-0,02492374
Steady State End;1850,0;1850,0;-0,00028734;-0,02395633
10% Recovery;1010,02083333;1010,77083333;-9,4696522;-9,4695885
90% Recovery;1201,20833333;1203,04166667;-1,05207486;-1,05176676
Release TIME (sw);191,1875;192,27083333;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,03324468;;;
Release Time Error (%);0,56663397;;;
SS Gain Error (dB);2,53e-05;;;
MAE (dB);0,01252055;;;
RMSE (dB);0,01690226;;;
R2 Score;0,99998685;;;
