sep=;
CATEGORY;METRIC;INPUT;OUTPUT;DELTA;UNIT;STATUS
LOUDNESS;Integrated Loudness;-18,46167;-23,61969;-5,15802;LUFS;V Effective Compression (Gain Reduction Applied)
DYNAMICS;Crest Factor;14,11426;13,25961;-0,85465;dB;V Dynamics Compressed
DYNAMICS;True Peak;-5,03580;-10,54469;-5,50889;dBTP;V Safe (No Clipping)
DYNAMICS;RMS Level;-19,15006;-23,80430;-4,65424;dBFS;V Signal Attenuated Correctly
SYSTEM;HW Execution Time;-;13,22892;-;ms;Accelerated
