Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-57,4397;-0,0457
-58,7879;-56,8668;-0,0789
-58,1818;-56,3293;-0,1475
-57,5758;-55,6609;-0,0851
-56,9697;-55,0402;-0,0705
-56,3636;-54,4609;-0,0973
-55,7576;-53,7872;-0,0297
-55,1515;-53,1621;-0,0106
-54,5455;-52,5789;-0,0335
-53,9394;-52,0325;-0,0931
-53,3333;-51,4191;-0,0857
-52,7273;-50,8462;-0,1189
-52,1212;-50,1367;-0,0155
-51,5152;-49,4809;0,0343
-50,9091;-48,945;-0,0359
-50,303;-48,3013;0,0017
-49,697;-47,7021;-0,0051
-49,0909;-47,0814;0,0095
-48,4848;-46,5021;-0,0173
-47,8788;-45,9066;-0,0278
-47,2727;-45,3003;-0,0276
-46,6667;-44,6881;-0,0214
-46,0606;-44,0737;-0,0131
-45,4545;-43,4999;-0,0453
-44,8485;-42,8874;-0,0389
-44,2424;-42,2463;-0,0039
-43,6364;-41,6493;-0,013
-43,0303;-41,0309;-0,0006
-42,4242;-40,4535;-0,0293
-41,8182;-39,8338;-0,0156
-41,2121;-39,2311;-0,019
-40,6061;-38,6221;-0,016
-40,0;-38,0108;-0,0108
-39,3939;-37,4003;-0,0063
-38,7879;-36,8115;-0,0236
-38,1818;-36,2086;-0,0268
-37,5758;-35,5808;-0,005
-36,9697;-34,9805;-0,0108
-36,3636;-34,3634;0,0003
-35,7576;-33,7613;-0,0038
-35,1515;-33,1621;-0,0106
-34,5455;-32,5564;-0,0109
-33,9394;-31,9481;-0,0087
-33,3333;-31,3405;-0,0071
-32,7273;-30,736;-0,0087
-32,1212;-30,1282;-0,007
-31,5152;-29,5205;-0,0053
-30,9091;-28,908;0,0011
-30,303;-28,3082;-0,0052
-29,697;-27,7021;-0,0051
-29,0909;-27,0934;-0,0025
-28,4848;-26,4909;-0,0061
-27,8788;-25,8857;-0,0069
-27,2727;-25,276;-0,0032
-26,6667;-24,6699;-0,0032
-26,0606;-24,0652;-0,0046
-25,4545;-23,4563;-0,0018
-24,8485;-22,8505;-0,002
-24,2424;-22,2463;-0,0039
-23,6364;-21,6397;-0,0034
-23,0303;-21,0339;-0,0036
-22,4242;-20,4256;-0,0014
-21,8182;-19,8208;-0,0026
-21,2121;-19,2141;-0,002
-20,6061;-18,6085;-0,0025
-20,0;-18,0024;-0,0024
-19,3939;-17,8458;-0,4519
-18,7879;-17,6859;-0,8981
-18,1818;-17,6031;-1,4213
-17,5758;-17,3279;-1,7521
-16,9697;-17,1371;-2,1674
-16,3636;-16,9392;-2,5755
-15,7576;-16,7293;-2,9717
-15,1515;-16,5119;-3,3604
-14,5455;-16,2843;-3,7388
-13,9394;-16,0456;-4,1063
-13,3333;-15,7987;-4,4653
-12,7273;-15,549;-4,8217
-12,1212;-15,3621;-5,2408
-11,5152;-14,9909;-5,4757
-10,9091;-14,7009;-5,7919
-10,303;-14,4009;-6,0978
-9,697;-14,0893;-6,3923
-9,0909;-13,7678;-6,6769
-8,4848;-13,4366;-6,9518
-7,8788;-13,0936;-7,2148
-7,2727;-12,7417;-7,469
-6,6667;-12,387;-7,7204
-6,0606;-12,0941;-8,0335
-5,4545;-11,6218;-8,1672
-4,8485;-11,2287;-8,3802
-4,2424;-10,8259;-8,5834
-3,6364;-10,4145;-8,7781
-3,0303;-9,994;-8,9637
-2,4242;-9,5642;-9,1399
-1,8182;-9,1258;-9,3076
-1,2121;-8,6803;-9,4682
-0,6061;-8,2333;-9,6273
0,0;-7,85;-9,85
