Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-55,5015;-0,1075
-58,7879;-54,8917;-0,1038
-58,1818;-54,3219;-0,1401
-57,5758;-53,6586;-0,0828
-56,9697;-53,0423;-0,0726
-56,3636;-52,4668;-0,1032
-55,7576;-51,8231;-0,0656
-55,1515;-51,2239;-0,0724
-54,5455;-50,5733;-0,0278
-53,9394;-50,052;-0,1126
-53,3333;-49,4023;-0,0689
-52,7273;-48,7978;-0,0705
-52,1212;-48,1645;-0,0433
-51,5152;-47,5112;0,004
-50,9091;-46,9624;-0,0533
-50,303;-46,3356;-0,0326
-49,697;-45,6998;-0,0028
-49,0909;-45,1073;-0,0164
-48,4848;-44,508;-0,0232
-47,8788;-43,9058;-0,027
-47,2727;-43,3426;-0,0699
-46,6667;-42,6684;-0,0017
-46,0606;-42,0763;-0,0157
-45,4545;-41,4906;-0,036
-44,8485;-40,8829;-0,0344
-44,2424;-40,2329;0,0095
-43,6364;-39,6536;-0,0173
-43,0303;-39,0391;-0,0088
-42,4242;-38,4652;-0,041
-41,8182;-37,8437;-0,0256
-41,2121;-37,2445;-0,0324
-40,6061;-36,6298;-0,0237
-40,0;-36,0221;-0,0221
-39,3939;-35,4072;-0,0133
-38,7879;-34,8038;-0,0159
-38,1818;-34,1987;-0,0169
-37,5758;-33,5823;-0,0065
-36,9697;-32,983;-0,0133
-36,3636;-32,3672;-0,0036
-35,7576;-31,7613;-0,0038
-35,1515;-31,1566;-0,0051
-34,5455;-30,5554;-0,01
-33,9394;-29,943;-0,0037
-33,3333;-29,3477;-0,0143
-32,7273;-28,7396;-0,0123
-32,1212;-28,1307;-0,0095
-31,5152;-27,5174;-0,0023
-30,9091;-26,9094;-0,0003
-30,303;-26,3081;-0,0051
-29,697;-25,7049;-0,0079
-29,0909;-25,093;-0,0021
-28,4848;-24,4902;-0,0054
-27,8788;-23,8851;-0,0063
-27,2727;-23,2767;-0,0039
-26,6667;-22,672;-0,0053
-26,0606;-22,0662;-0,0056
-25,4545;-21,4591;-0,0046
-24,8485;-20,8478;0,0007
-24,2424;-20,2438;-0,0014
-23,6364;-19,6409;-0,0046
-23,0303;-19,032;-0,0017
-22,4242;-18,4275;-0,0033
-21,8182;-17,821;-0,0028
-21,2121;-17,2156;-0,0035
-20,6061;-16,6082;-0,0022
-20,0;-16,002;-0,002
-19,3939;-15,8445;-0,4506
-18,7879;-15,685;-0,8971
-18,1818;-15,6031;-1,4213
-17,5758;-15,3279;-1,7522
-16,9697;-15,1381;-2,1684
-16,3636;-14,9389;-2,5753
-15,7576;-14,7298;-2,9722
-15,1515;-14,5115;-3,36
-14,5455;-14,2848;-3,7393
-13,9394;-14,0465;-4,1071
-13,3333;-13,7989;-4,4656
-12,7273;-13,5494;-4,8221
-12,1212;-13,3622;-5,241
-11,5152;-12,9913;-5,4761
-10,9091;-12,7005;-5,7914
-10,303;-12,4003;-6,0973
-9,697;-12,0898;-6,3929
-9,0909;-11,7675;-6,6766
-8,4848;-11,4359;-6,951
-7,8788;-11,0936;-7,2148
-7,2727;-10,7415;-7,4687
-6,6667;-10,3864;-7,7197
-6,0606;-10,0943;-8,0337
-5,4545;-9,6218;-8,1672
-4,8485;-9,2287;-8,3803
-4,2424;-8,8263;-8,5839
-3,6364;-8,4144;-8,7781
-3,0303;-7,9939;-8,9636
-2,4242;-7,5642;-9,1399
-1,8182;-7,1258;-9,3076
-1,2121;-6,6804;-9,4683
-0,6061;-6,2339;-9,6279
0,0;-5,8497;-9,8497
