Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-59,3939;-55,3939;0,0;-55,5015;-0,1075;Avg Error Output (dB);0,021959
-58,7879;-54,7879;0,0;-54,8917;-0,1038;Max Error Output (dB);0,1401
-58,1818;-54,1818;0,0;-54,3219;-0,1401;MAE Output (dB);0,021959
-57,5758;-53,5758;0,0;-53,6586;-0,0828;RMSE Output (dB);0,039265
-56,9697;-52,9697;0,0;-53,0423;-0,0726;R2 Score Output;0,99999301
-56,3636;-52,3636;0,0;-52,4668;-0,1032;Avg Error GR (dB);0,021961
-55,7576;-51,7576;0,0;-51,8231;-0,0656;Max Error GR (dB);0,1401
-55,1515;-51,1515;0,0;-51,2239;-0,0724;;
-54,5455;-50,5455;0,0;-50,5733;-0,0278;;
-53,9394;-49,9394;0,0;-50,052;-0,1126;;
-53,3333;-49,3333;0,0;-49,4023;-0,0689;;
-52,7273;-48,7273;0,0;-48,7978;-0,0705;;
-52,1212;-48,1212;0,0;-48,1645;-0,0433;;
-51,5152;-47,5152;0,0;-47,5112;0,004;;
-50,9091;-46,9091;0,0;-46,9624;-0,0533;;
-50,303;-46,303;0,0;-46,3356;-0,0326;;
-49,697;-45,697;0,0;-45,6998;-0,0028;;
-49,0909;-45,0909;0,0;-45,1073;-0,0164;;
-48,4848;-44,4848;0,0;-44,508;-0,0232;;
-47,8788;-43,8788;0,0;-43,9058;-0,027;;
-47,2727;-43,2727;0,0;-43,3426;-0,0699;;
-46,6667;-42,6667;0,0;-42,6684;-0,0017;;
-46,0606;-42,0606;0,0;-42,0763;-0,0157;;
-45,4545;-41,4545;0,0;-41,4906;-0,036;;
-44,8485;-40,8485;0,0;-40,8829;-0,0344;;
-44,2424;-40,2424;0,0;-40,2329;0,0095;;
-43,6364;-39,6364;0,0;-39,6536;-0,0173;;
-43,0303;-39,0303;0,0;-39,0391;-0,0088;;
-42,4242;-38,4242;0,0;-38,4652;-0,041;;
-41,8182;-37,8182;0,0;-37,8437;-0,0256;;
-41,2121;-37,2121;0,0;-37,2445;-0,0324;;
-40,6061;-36,6061;0,0;-36,6298;-0,0237;;
-40,0;-36,0;0,0;-36,0221;-0,0221;;
-39,3939;-35,3939;0,0;-35,4072;-0,0133;;
-38,7879;-34,7879;0,0;-34,8038;-0,0159;;
-38,1818;-34,1818;0,0;-34,1987;-0,0169;;
-37,5758;-33,5758;0,0;-33,5823;-0,0065;;
-36,9697;-32,9697;0,0;-32,983;-0,0133;;
-36,3636;-32,3636;0,0;-32,3672;-0,0036;;
-35,7576;-31,7576;0,0;-31,7613;-0,0038;;
-35,1515;-31,1515;0,0;-31,1566;-0,0051;;
-34,5455;-30,5455;0,0;-30,5554;-0,01;;
-33,9394;-29,9394;0,0;-29,943;-0,0037;;
-33,3333;-29,3333;0,0;-29,3477;-0,0143;;
-32,7273;-28,7273;0,0;-28,7396;-0,0123;;
-32,1212;-28,1212;0,0;-28,1307;-0,0095;;
-31,5152;-27,5152;0,0;-27,5174;-0,0023;;
-30,9091;-26,9091;0,0;-26,9094;-0,0003;;
-30,303;-26,303;0,0;-26,3081;-0,0051;;
-29,697;-25,697;0,0;-25,7049;-0,0079;;
-29,0909;-25,0909;0,0;-25,093;-0,0021;;
-28,4848;-24,4848;0,0;-24,4902;-0,0054;;
-27,8788;-23,8788;0,0;-23,8851;-0,0063;;
-27,2727;-23,2727;0,0;-23,2767;-0,0039;;
-26,6667;-22,6667;0,0;-22,672;-0,0053;;
-26,0606;-22,0606;0,0;-22,0662;-0,0056;;
-25,4545;-21,4545;0,0;-21,4591;-0,0046;;
-24,8485;-20,8485;0,0;-20,8478;0,0007;;
-24,2424;-20,2424;0,0;-20,2438;-0,0014;;
-23,6364;-19,6364;0,0;-19,6409;-0,0046;;
-23,0303;-19,0303;0,0;-19,032;-0,0017;;
-22,4242;-18,4242;0,0;-18,4275;-0,0033;;
-21,8182;-17,8182;0,0;-17,821;-0,0028;;
-21,2121;-17,2121;0,0;-17,2156;-0,0035;;
-20,6061;-16,6061;0,0;-16,6082;-0,0022;;
-20,0;-16,0;0,0;-16,002;-0,002;;
-19,3939;-15,8445;-0,4505;-15,8445;-0,4506;;
-18,7879;-15,6807;-0,8929;-15,685;-0,8971;;
-18,1818;-15,5085;-1,3267;-15,6031;-1,4213;;
-17,5758;-15,3276;-1,7519;-15,3279;-1,7522;;
