Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-59,3939;-54,3939;0,0;-54,4609;-0,067;Avg Error Output (dB);0,022731
-58,7879;-53,7879;0,0;-53,9179;-0,13;Max Error Output (dB);0,1547
-58,1818;-53,1818;0,0;-53,2836;-0,1017;MAE Output (dB);0,022731
-57,5758;-52,5758;0,0;-52,6925;-0,1167;RMSE Output (dB);0,042012
-56,9697;-51,9697;0,0;-52,0325;-0,0628;R2 Score Output;0,999992
-56,3636;-51,3636;0,0;-51,5183;-0,1547;Avg Error GR (dB);0,022731
-55,7576;-50,7576;0,0;-50,8462;-0,0886;Max Error GR (dB);0,1547
-55,1515;-50,1515;0,0;-50,2223;-0,0708;;
-54,5455;-49,5455;0,0;-49,6403;-0,0948;;
-53,9394;-48,9394;0,0;-49,0196;-0,0802;;
-53,3333;-48,3333;0,0;-48,4403;-0,107;;
-52,7273;-47,7273;0,0;-47,8317;-0,1044;;
-52,1212;-47,1212;0,0;-47,1415;-0,0203;;
-51,5152;-46,5152;0,0;-46,5021;0,0131;;
-50,9091;-45,9091;0,0;-45,9591;-0,05;;
-50,303;-45,303;0,0;-45,3003;0,0027;;
-49,697;-44,697;0,0;-44,7337;-0,0367;;
-49,0909;-44,0909;0,0;-44,0737;0,0173;;
-48,4848;-43,4848;0,0;-43,4999;-0,015;;
-47,8788;-42,8788;0,0;-42,8874;-0,0086;;
-47,2727;-42,2727;0,0;-42,3153;-0,0425;;
-46,6667;-41,6667;0,0;-41,6815;-0,0148;;
-46,0606;-41,0606;0,0;-41,0608;-0,0002;;
-45,4545;-40,4545;0,0;-40,5096;-0,055;;
-44,8485;-39,8485;0,0;-39,8598;-0,0114;;
-44,2424;-39,2424;0,0;-39,2554;-0,0129;;
-43,6364;-38,6364;0,0;-38,6675;-0,0311;;
-43,0303;-38,0303;0,0;-38,0319;-0,0016;;
-42,4242;-37,4242;0,0;-37,4594;-0,0352;;
-41,8182;-36,8182;0,0;-36,8483;-0,0301;;
-41,2121;-36,2121;0,0;-36,2429;-0,0308;;
-40,6061;-35,6061;0,0;-35,6287;-0,0227;;
-40,0;-35,0;0,0;-35,0252;-0,0252;;
-39,3939;-34,3939;0,0;-34,405;-0,0111;;
-38,7879;-33,7879;0,0;-33,8002;-0,0123;;
-38,1818;-33,1818;0,0;-33,1984;-0,0165;;
-37,5758;-32,5758;0,0;-32,5789;-0,0032;;
-36,9697;-31,9697;0,0;-31,9797;-0,01;;
-36,3636;-31,3636;0,0;-31,3601;0,0036;;
-35,7576;-30,7576;0,0;-30,7543;0,0033;;
-35,1515;-30,1515;0,0;-30,1623;-0,0108;;
-34,5455;-29,5455;0,0;-29,5602;-0,0147;;
-33,9394;-28,9394;0,0;-28,945;-0,0056;;
-33,3333;-28,3333;0,0;-28,3428;-0,0094;;
-32,7273;-27,7273;0,0;-27,7407;-0,0135;;
-32,1212;-27,1212;0,0;-27,1294;-0,0082;;
-31,5152;-26,5152;0,0;-26,5189;-0,0038;;
-30,9091;-25,9091;0,0;-25,9118;-0,0027;;
-30,303;-25,303;0,0;-25,3101;-0,0071;;
-29,697;-24,697;0,0;-24,7063;-0,0093;;
-29,0909;-24,0909;0,0;-24,0949;-0,004;;
