sep=;
DATA PERBANDINGAN MENTAH - D1;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;326,9375;328,5625;-10,99988652;-10,99996476
Steady State End;550,0;550,0;-11,0008842;-11,00095831
10% Steady State;62,3125;62,3125;-1,10269817;-1,10141584
90% Steady State;137,6875;137,64583333;-9,90091083;-9,90105757
ATTACK TIME (sw);75,375;75,33333333;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,0008844;-11,0009572
Steady State Start;688,375;697,47916667;-0,02495664;-0,02489569
Steady State End;1250,0;1250,0;0,0;-0,02395633
10% Recovery;572,33333333;572,625;-9,89981974;-9,89993693
90% Recovery;646,0;646,375;-1,09951543;-1,09943318
Release TIME (sw);73,66666667;73,75;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,05527916;;;
Release Time Error (%);0,11312217;;;
SS Gain Error (dB);7,824e-05;;;
MAE (dB);0,0144529;;;
RMSE (dB);0,0184815;;;
R2 Score;0,99998694;;;
