sep=;
DATA PERBANDINGAN MENTAH - C2;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;426,91666667;428,5;-11,00133798;-11,00122368
Steady State End;550,0;550,0;-11,00233706;-11,00221352
10% Steady State;65,04166667;65,02083333;-1,10198441;-1,10281582
90% Steady State;168,77083333;168,75;-9,90234203;-9,90227594
ATTACK TIME (sw);103,72916667;103,72916667;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,0023365;-11,00221564
Steady State Start;867,3125;897,60416667;-0,024994;-0,02492374
Steady State End;1250,0;1250,0;-5,57e-06;-0,02395633
10% Recovery;586,3125;586,625;-9,90163474;-9,90127574
90% Recovery;697,85416667;698,875;-1,10019345;-1,10013059
Release TIME (sw);111,54166667;112,25;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,0;;;
Release Time Error (%);0,63503922;;;
SS Gain Error (dB);0,0001143;;;
MAE (dB);0,01422195;;;
RMSE (dB);0,01819889;;;
R2 Score;0,99998668;;;
