sep=;
DATA PERBANDINGAN MENTAH - C1;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;317,89583333;316,70833333;-11,00357919;-11,00337497
Steady State End;550,0;550,0;-11,00457244;-11,00436014
10% Steady State;57,79166667;57,77083333;-1,10504846;-1,10191867
90% Steady State;97,97916667;98,0;-9,90490791;-9,90555287
ATTACK TIME (sw);40,1875;40,22916667;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,00457085;-11,00436375
Steady State Start;867,3125;897,60416667;-0,02499459;-0,02492374
Steady State End;1250,0;1250,0;-5,57e-06;-0,02395633
10% Recovery;586,29166667;586,60416667;-9,90376278;-9,90352279
90% Recovery;697,85416667;698,875;-1,10022119;-1,10013059
Release TIME (sw);111,5625;112,27083333;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,10368067;;;
Release Time Error (%);0,63492063;;;
SS Gain Error (dB);0,00020422;;;
MAE (dB);0,01481366;;;
RMSE (dB);0,0194751;;;
R2 Score;0,99998574;;;
