sep=;
CATEGORY;METRIC;INPUT;OUTPUT;DELTA;UNIT;STATUS
LOUDNESS;Integrated Loudness;-18,91497;-23,20526;-4,29029;LUFS;V Effective Compression (Gain Reduction Applied)
DYNAMICS;Crest Factor;15,98481;13,81593;-2,16888;dB;V Dynamics Compressed
DYNAMICS;True Peak;-2,34028;-8,78469;-6,44441;dBTP;V Safe (No Clipping)
DYNAMICS;RMS Level;-18,32494;-22,60038;-4,27544;dBFS;V Signal Attenuated Correctly
SYSTEM;SW Execution Time;-;15378,61710;-;ms;-
